URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,68.0,-34.0,2.9999999117647085,0.0812749003336455,13.139240506329115,-34.0,5.4518426379844405,13.139240506329115,509.0,1044.0,2262.0,1.0,7.6502890173410405
38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,60.0,-35.0,3.799999848000006,0.12040557652673564,7.84,-35.0,3.282938775510204,7.84,216.0,575.0,1120.0,0.0,6.976190476190476
39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,65.0,-38.0,3.8148146735253823,0.09346642459758037,10.313953488372093,-38.0,4.330767415641961,10.313953488372093,455.0,884.0,1930.0,1.0,7.698985343855694
40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,64.0,-27.0,2.459459392987584,0.10022026420680588,7.808510638297872,-27.0,3.2710881790248716,7.808510638297872,271.0,724.0,1424.0,0.0,6.832425068119891
41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,55.0,-23.0,2.4374999238281276,0.07379375584314686,9.741176470588234,-23.0,4.0612048877522025,9.741176470588234,341.0,828.0,1606.0,4.0,7.177536231884058
42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,43.0,-22.0,3.095237947845812,0.08678237638613835,10.666666666666666,-22.0,4.4222222222222225,10.666666666666666,224.0,566.0,1130.0,3.0,7.074652777777778
43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,27.0,-12.0,2.599999826666678,0.08262711846901034,7.666666666666667,-12.0,3.2481884057971016,7.666666666666667,167.0,359.0,748.0,0.0,7.182065217391305
44,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,page not found,page not found,page not found,page not found,page not found,page not found,page not found,page not found,page not found,page not found,page not found,page not found,page not found
45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,38.0,-13.0,2.039999918400003,0.11617312046429813,9.131578947368421,-13.0,3.796723797967542,9.131578947368421,125.0,345.0,626.0,2.0,6.804034582132565
46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,67.0,-41.0,4.153845994082846,0.08359133120465066,11.919540229885058,-41.0,4.9402365355412945,11.919540229885058,447.0,1050.0,2066.0,2.0,7.0588235294117645
47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,46.0,-63.0,-6.4117650830450055,0.07921511622150064,9.676470588235293,-63.0,4.04120626974194,9.676470588235293,421.0,1004.0,1975.0,1.0,7.167173252279635
48,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,37.0,-22.0,3.9333330711111287,0.07994579934966693,10.474576271186441,-22.0,4.3982447479567774,10.474576271186441,322.0,618.0,1334.0,1.0,7.70873786407767
49,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,30.0,-28.0,28.99998550000725,0.0723192019048389,7.357142857142857,-28.0,3.100138696255201,7.357142857142857,243.0,626.0,1195.0,0.0,6.889967637540453
50,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,63.0,-24.0,2.2307691735700215,0.10308056859824577,8.75,-24.0,3.678285714285714,8.75,312.0,701.0,1458.0,6.0,7.228571428571429
51,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,67.0,-22.0,1.9777777338271616,0.08785784788957764,9.329411764705883,-22.0,3.896707959350197,9.329411764705883,327.0,787.0,1583.0,2.0,7.109709962168979
52,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,26.0,0.0,0.9999999615384629,0.07878787854912764,11.73913043478261,0.0,4.911948470209341,11.73913043478261,146.0,270.0,595.0,0.0,7.7444444444444445
53,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,80.0,-39.0,2.90243895359905,0.13869463853298994,77.3,-39.0,31.081966364812416,77.3,313.0,772.0,1477.0,1.0,6.85640362225097
54,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,20.0,0.0,0.9999999500000024,0.04210526306925208,8.042553191489361,0.0,3.4170212765957446,8.042553191489361,189.0,374.0,768.0,0.0,7.264550264550264
55,https://insights.blackcoffer.com/evolution-of-advertising-industry/,14.0,-6.0,2.4999996875000394,0.042194092737987146,9.097560975609756,-6.0,3.855646374158112,9.097560975609756,202.0,372.0,826.0,1.0,7.949061662198392
56,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,0.0,-3.0,-1.0000003333334444,0.02727272702479339,10.75,-3.0,4.495348837209302,10.75,42.0,83.0,190.0,0.0,7.488372093023256
57,https://insights.blackcoffer.com/covid-19-environmental-impact-for-the-future/,page not found,page not found,page not found,page not found,page not found,page not found,page not found,page not found,page not found,page not found,page not found,page not found,page not found
58,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,21.0,-67.0,-1.913043519848772,0.11041405255907898,11.981818181818182,-67.0,4.966930611118776,11.981818181818182,287.0,658.0,1316.0,0.0,7.277693474962064
59,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,14.0,-12.0,12.99999350000325,0.06701030910564354,10.931034482758621,-12.0,4.5339279886870445,10.931034482758621,128.0,314.0,628.0,0.0,6.968454258675079
60,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,58.0,-38.0,4.799999760000012,0.08839778997385102,7.63963963963964,-38.0,3.2157615162332145,7.63963963963964,339.0,845.0,1685.0,0.0,7.17688679245283
61,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,41.0,-3.0,1.157894706371192,0.10679611624564049,7.333333333333333,-3.0,3.1054545454545455,7.333333333333333,142.0,326.0,692.0,0.0,7.290909090909091
